Customer_ID,Customer_Name,City,State,Region
92,Kavya Bansal,Coimbatore,Tamil Nadu,South
93,Rahul Verma,Chennai,Tamil Nadu,South
94,Meera Shah,Amritsar,Punjab,North
95,Rohan Sharma,Lucknow,Uttar Pradesh,North
96,Priya Khan,Ahmedabad,Gujarat,West
97,Simran Singh,Amritsar,Punjab,North
98,Simran Joshi,Mumbai,Maharashtra,West
99,Neha Patel,Patna,Bihar,East
100,Arjun Patel,Jaipur,Rajasthan,North
101,Karan Agarwal,Ranchi,Jharkhand,East
102,Simran Gupta,Guwahati,Assam,East
103,Pooja Kapoor,Amritsar,Punjab,North
104,Riya Verma,Bengaluru,Karnataka,South
105,Nikhil Singh,Jaipur,Rajasthan,North
106,Sneha Jain,Kochi,Kerala,South
107,Aman Jain,Guwahati,Assam,East
108,Karan Sharma,Patna,Bihar,East
109,Meera Mehta,Jaipur,Rajasthan,North
110,Aditya Verma,Bhubaneswar,Odisha,East
111,Riya Gupta,Coimbatore,Tamil Nadu,South
112,Priya Bansal,Guwahati,Assam,East
113,Karan Singh,Ranchi,Jharkhand,East
114,Simran Patel,Bengaluru,Karnataka,South
115,Aman Gupta,Patna,Bihar,East
116,Aditya Sharma,Kochi,Kerala,South
117,Meera Bansal,Kolkata,West Bengal,East
118,Pooja Sharma,Coimbatore,Tamil Nadu,South
119,Pooja Verma,Surat,Gujarat,West
120,Aditya Khan,Patna,Bihar,East
121,Vivaan Jain,Ranchi,Jharkhand,East
122,Kavya Singh,Ranchi,Jharkhand,East
123,Ananya Singh,Ranchi,Jharkhand,East
124,Meera Patel,Jaipur,Rajasthan,North
125,Isha Gupta,Coimbatore,Tamil Nadu,South
126,Aman Sharma,Ranchi,Jharkhand,East
127,Isha Malhotra,Surat,Gujarat,West
128,Nikhil Joshi,Kolkata,West Bengal,East
129,Karan Malhotra,Mumbai,Maharashtra,West
130,Sneha Agarwal,Amritsar,Punjab,North
131,Rahul Patel,Kolkata,West Bengal,East
132,Neha Kapoor,Guwahati,Assam,East
133,Meera Agarwal,Lucknow,Uttar Pradesh,North
134,Rohan Shah,Coimbatore,Tamil Nadu,South
135,Nikhil Khan,Ahmedabad,Gujarat,West
136,Pooja Singh,Pune,Maharashtra,West
137,Meera Kapoor,Hyderabad,Telangana,South
138,Arjun Gupta,Mumbai,Maharashtra,West
139,Priya Gupta,Indore,Madhya Pradesh,West
140,Aarav Bansal,Delhi,Delhi,North
141,Aman Khan,Bengaluru,Karnataka,South
142,Kavya Malhotra,Ahmedabad,Gujarat,West
143,Isha Kapoor,Kolkata,West Bengal,East
144,Aarav Patel,Chandigarh,Chandigarh,North
145,Riya Mehta,Amritsar,Punjab,North
146,Rohan Joshi,Hyderabad,Telangana,South
147,Aman Kapoor,Kochi,Kerala,South
148,Sneha Saxena,Lucknow,Uttar Pradesh,North
149,Simran Malhotra,Bhubaneswar,Odisha,East
150,Nikhil Saxena,Ahmedabad,Gujarat,West
